feature,mean,std_sample
fixed acidity,7.215307064799139,1.2964337577998153
volatile acidity,0.3396659996921656,0.16463647408467877
citric acid,0.3186332153301524,0.14531786489759155
residual sugar,5.443235339387409,4.757803743147418
chlorides,0.05603386178236109,0.03503360137245907
free sulfur dioxide,30.525319378174544,17.7493997720025
total sulfur dioxide,115.7445744189626,56.521854522630285
density,0.9946966338309989,0.0029986730037190393
pH,3.2185008465445586,0.16078720210398764
sulphates,0.5312682776666154,0.14880587361449027
alcohol,10.491800831152839,1.192711748870993
