PC1,PC2,quality,wine_type
-3.2057494326395677,0.41649126855830154,5,Tinto
-3.0388169235728593,1.1073768944663314,5,Tinto
-3.071657055759917,0.8788967893846612,5,Tinto
-1.5711412091774446,2.112381967072128,6,Tinto
-3.2057494326395677,0.41649126855830154,5,Tinto
-3.0119338405934193,0.3893675311679498,5,Tinto
-2.150538602182825,0.32358130994020884,5,Tinto
-2.710973453019164,-0.6533605648186172,7,Tinto
-2.9450374015469807,0.33148565425743065,7,Tinto
-1.6602148081671007,1.1646796155602441,5,Tinto
-2.1334484525875776,0.40134783499567894,5,Tinto
-1.6602148081671007,1.1646796155602441,5,Tinto
-2.478414152079428,-0.952188099287505,5,Tinto
-4.799181542385103,2.6969145131785934,5,Tinto
-1.996259576759439,3.33011165201523,5,Tinto
-2.039656446818115,3.350970215324594,5,Tinto
-0.986473032463701,1.2933803005956022,7,Tinto
-5.69399436078943,4.678930161599818,5,Tinto
-2.5959083775618224,0.8010019528928775,4,Tinto
-4.107817771687026,4.382472559084053,6,Tinto
-0.9854310655197739,1.0664677999108403,6,Tinto
-1.8350285622159745,0.8927427139084326,5,Tinto
-2.9421755665991847,1.3758780685684244,5,Tinto
-2.0717694003213327,0.9294483740225263,5,Tinto
-2.0580253925032843,0.2706091716260743,6,Tinto
-2.008134221220848,-0.14824669088135017,5,Tinto
-2.4603265704675468,0.4402311537912426,5,Tinto
-2.9421755665991847,1.3758780685684244,5,Tinto
-3.042123346797757,0.304528024847625,5,Tinto
-3.3199030409315027,0.23801404392852155,6,Tinto
-2.232640356196316,0.022271230950096477,5,Tinto
-3.0234266944455617,-0.012425751134394068,6,Tinto
-2.1450737617475215,1.0668881019548222,5,Tinto
-0.8386517279761775,1.4454724530480965,6,Tinto
-1.457948837051398,-0.05930997885958343,5,Tinto
-3.11739929146499,0.943178883083052,6,Tinto
-3.3829664064845537,0.22283282202888294,6,Tinto
-2.1565690754595694,0.8273353372948808,7,Tinto
-4.650243155997299,0.203296874690148,4,Tinto
-1.8299621877567867,1.1048351081579024,5,Tinto
-1.8299621877567867,1.1048351081579024,5,Tinto
-2.2748942499893334,1.4850757226174485,4,Tinto
-5.1903131738041655,2.959141637978299,6,Tinto
-4.1198667870955195,1.2622054317462132,5,Tinto
-3.0059278061448245,-0.40916483458836533,5,Tinto
-2.519880612184034,-3.075398960240569,4,Tinto
-2.6420697052140096,2.128590996973512,5,Tinto
-1.9110942453918327,1.5013135668726896,5,Tinto
-2.081896805922341,-0.08285842743627335,5,Tinto
-0.7723882394307038,0.005347267704859784,5,Tinto
-3.1990687900197994,1.5244346851432435,5,Tinto
-2.712843941924653,-0.18447444150829168,6,Tinto
-2.7274249074434787,-0.22123534245121373,6,Tinto
-0.6427337417866276,1.4276512117763693,5,Tinto
-1.7044220272459414,0.6995557416080752,6,Tinto
-2.2458136361222576,0.852277583121858,5,Tinto
-2.2008460371285756,1.9780881869473346,5,Tinto
-1.4739603808347832,1.9663547397362406,5,Tinto
-2.4885916065357656,0.5755324877153322,5,Tinto
-1.837942967196358,0.3468771415123895,6,Tinto
-2.0520070767559853,1.465939518894197,5,Tinto
-2.027690674674785,1.9344775798257585,5,Tinto
-2.6174466617844083,0.5718891875156404,7,Tinto
