Componente,Autovalor,Variância (%),Acumulada (%)
PC1,3.0298686485565787,27.54426044142344,27.54426044142344
PC2,2.493826027221359,22.67114570201235,50.21540614343579
PC3,1.5563469530615837,14.148608664196214,64.364014807632
PC4,0.9705520786710132,8.823200715191028,73.18721552282304
PC5,0.7198749159520483,6.5443174177458925,79.73153294056893
PC6,0.6073117108891184,5.521015553537438,85.25254849410636
PC7,0.5231587632070319,4.755988756427562,90.00853725053392
PC8,0.5015102903371502,4.559184457610456,94.56772170814438
PC9,0.33702404539215586,3.063854958110507,97.63157666625489
PC10,0.22769576445918863,2.0699614950835326,99.70153816133842
PC11,0.03283080225277488,0.29846183866158976,100.0
